RK,TEAM,GP,W,L,RECORD,MIN,PTS,FGM,FGA,FG,FG3M,FG3A,FG3,FTM,FTA,FT,OREB,DREB,REB,AST,TOV,STL,BLK,PF
1,Milwaukee Bucks,66,54,12,0.818,48.2,118.7,43.5,91.1,47.7,13.7,38.7,35.5,18,24.2,74.4,9.5,42.2,51.7,25.9,14.9,7.4,6,19.3
2,Los Angeles Lakers,64,50,14,0.781,48.2,114.2,42.8,88.5,48.3,11.2,31.5,35.4,17.5,24,73.1,10.6,35.5,46.1,25.8,15.1,8.5,6.8,20.7
3,Toronto Raptors,64,46,18,0.719,48.3,113,40.6,88.5,45.8,13.8,37,37.1,18.1,22.6,80,9.7,35.5,45.2,25.4,14.4,8.8,4.9,21.5
4,LA Clippers,65,44,21,0.677,48.2,116,41.5,89.4,46.4,12.2,33.2,36.8,20.8,26.3,79.1,10.8,36.9,47.8,23.7,14.9,7.1,5,22.2
5,Boston Celtics,65,43,22,0.662,48.4,113,41.1,89.6,45.8,12.4,34.3,36.1,18.4,23,80.1,10.7,35.3,46,22.7,13.7,8.3,5.6,21.5
6,Denver Nuggets,66,43,23,0.652,48.5,110.3,41.8,88.9,47,10.8,30.5,35.5,15.9,20.5,77.5,10.8,33.4,44.2,26.5,13.8,8.1,4.6,20.2
7,Utah Jazz,65,42,23,0.646,48.1,111,40.1,84.6,47.4,13.1,34.4,38.1,17.7,22.8,77.4,8.9,36.2,45.1,22.1,15,6,4,20.1
8,Miami Heat,66,42,24,0.636,48.7,112.3,39.6,84.2,47.1,13.3,34.8,38.4,19.7,25.3,78,8.5,36,44.4,26,14.9,7.4,4.4,20.5
9,Houston Rockets,65,41,24,0.631,48.3,118.7,41.3,90.8,45.5,15.5,44.3,34.9,20.6,26.2,78.7,10.3,34.6,44.9,21.6,14.6,8.5,5.2,21.7
10,Oklahoma City Thunder,64,40,24,0.625,48.3,110.8,40.3,85.1,47.3,10.4,29.3,35.5,19.8,24.8,79.7,8.1,34.6,42.7,21.9,13.5,7.6,5,18.8
11,Indiana Pacers,65,39,26,0.6,48.3,109.3,42.2,88.4,47.7,10,27.5,36.3,15.1,19.1,78.7,8.8,34,42.8,25.9,13.1,7.2,5.1,19.6
11,Philadelphia 76ers,65,39,26,0.6,48.2,109.6,40.8,87.7,46.5,11.4,31.6,36.2,16.6,22.1,75.2,10.4,35.1,45.5,25.9,14.2,8.2,5.4,20.6
13,Dallas Mavericks,68,40,28,0.588,48.4,116.8,41.7,90.2,46.3,15.4,41.6,37,18,23.3,77.2,10.7,36.5,47.1,24.6,12.9,6.3,5,19.3
14,Memphis Grizzlies,66,32,34,0.485,48.2,113,42.7,91,47,11,31.2,35.1,16.5,21.7,76.1,10.4,36.2,46.6,27,15.2,8,5.6,20.9
15,Orlando Magic,66,31,35,0.47,48.1,106.7,39.3,88.8,44.3,10.9,32,34.2,17.1,22.2,77.2,10.3,34.2,44.5,24.1,12.6,8.3,5.7,17.7
16,Brooklyn Nets,65,30,35,0.462,48.6,110.9,40,90.1,44.4,12.9,37.9,34,17.9,24.1,74.4,10.8,37.5,48.3,24.1,15.5,6.4,4.5,20.7
